cohort,month,at_risk,events,survival,survival_mw_weighted
C11,119,0,0,,
C11,120,0,0,,
C12,0,136,0,1.0,1.0
C12,1,136,0,1.0,1.0
C12,2,136,0,1.0,1.0
C12,3,136,34,0.75,0.8054549556502844
C12,4,102,0,0.75,0.8054549556502844
C12,5,102,0,0.75,0.8054549556502844
C12,6,102,0,0.75,0.8054549556502844
C12,7,102,1,0.7426470588235294,0.8034363608297612
C12,8,101,0,0.7426470588235294,0.8034363608297612
C12,9,101,0,0.7426470588235294,0.8034363608297612
C12,10,101,16,0.625,0.6336369141622238
C12,11,85,16,0.5073529411764706,0.5293586805514325
C12,12,69,17,0.38235294117647056,0.380528871842977
C12,13,52,0,0.38235294117647056,0.380528871842977
C12,14,52,0,0.38235294117647056,0.380528871842977
C12,15,52,0,0.38235294117647056,0.380528871842977
C12,16,52,0,0.38235294117647056,0.380528871842977
C12,17,52,0,0.38235294117647056,0.380528871842977
C12,18,52,0,0.38235294117647056,0.380528871842977
C12,19,52,0,0.38235294117647056,0.380528871842977
C12,20,52,0,0.38235294117647056,0.380528871842977
C12,21,52,0,0.38235294117647056,0.380528871842977
C12,22,52,1,0.37499999999999994,0.3798164266122041
C12,23,51,0,0.37499999999999994,0.3798164266122041
C12,24,51,0,0.37499999999999994,0.3798164266122041
C12,25,51,2,0.36029411764705876,0.36794233943265603
C12,26,49,0,0.36029411764705876,0.36794233943265603
C12,27,49,0,0.36029411764705876,0.36794233943265603
C12,28,49,0,0.36029411764705876,0.36794233943265603
C12,29,49,0,0.36029411764705876,0.36794233943265603
C12,30,49,0,0.36029411764705876,0.36794233943265603
C12,31,49,1,0.35294117647058815,0.3631927045608368
C12,32,48,0,0.35294117647058815,0.3631927045608368
C12,33,47,0,0.35294117647058815,0.3631927045608368
C12,34,47,0,0.35294117647058815,0.3631927045608368
C12,35,47,0,0.35294117647058815,0.3631927045608368
C12,36,47,1,0.34543178973717137,0.35843685024374067
C12,37,46,0,0.34543178973717137,0.35843685024374067
C12,38,46,1,0.3379224030037546,0.35249203234737053
C12,39,45,0,0.3379224030037546,0.35249203234737053
C12,40,45,0,0.3379224030037546,0.35249203234737053
C12,41,45,0,0.3379224030037546,0.35249203234737053
C12,42,45,0,0.3379224030037546,0.35249203234737053
C12,43,45,0,0.3379224030037546,0.35249203234737053
C12,44,45,0,0.3379224030037546,0.35249203234737053
C12,45,45,0,0.3379224030037546,0.35249203234737053
C12,46,45,0,0.3379224030037546,0.35249203234737053
C12,47,45,0,0.3379224030037546,0.35249203234737053
C12,48,45,0,0.3379224030037546,0.35249203234737053
C12,49,45,0,0.3379224030037546,0.35249203234737053
C12,50,45,0,0.3379224030037546,0.35249203234737053
C12,51,45,0,0.3379224030037546,0.35249203234737053
C12,52,45,0,0.3379224030037546,0.35249203234737053
C12,53,45,1,0.3304130162703378,0.35118417241016914
C12,54,44,0,0.3304130162703378,0.35118417241016914
C12,55,44,0,0.3304130162703378,0.35118417241016914
C12,56,44,0,0.3304130162703378,0.35118417241016914
C12,57,44,0,0.3304130162703378,0.35118417241016914
C12,58,44,0,0.3304130162703378,0.35118417241016914
C12,59,44,1,0.32290362953692103,0.344050390934525
C12,60,43,0,0.32290362953692103,0.344050390934525
C12,61,43,0,0.32290362953692103,0.344050390934525
C12,62,43,0,0.32290362953692103,0.344050390934525
C12,63,43,0,0.32290362953692103,0.344050390934525
C12,64,43,1,0.31539424280350425,0.34309922007110577
C12,65,42,0,0.31539424280350425,0.34309922007110577
C12,66,41,0,0.31539424280350425,0.34309922007110577
C12,67,41,0,0.31539424280350425,0.34309922007110577
C12,68,41,0,0.31539424280350425,0.34309922007110577
C12,69,41,0,0.31539424280350425,0.34309922007110577
C12,70,41,0,0.31539424280350425,0.34309922007110577
C12,71,41,1,0.3077017002961017,0.33950743565468633
C12,72,40,1,0.3000091577886992,0.3389088049186164
C12,73,38,0,0.3000091577886992,0.3389088049186164
C12,74,38,0,0.3000091577886992,0.3389088049186164
C12,75,38,0,0.3000091577886992,0.3389088049186164
C12,76,37,0,0.3000091577886992,0.3389088049186164
C12,77,37,1,0.2919008021727884,0.32614243565208473
C12,78,35,0,0.2919008021727884,0.32614243565208473
C12,79,35,0,0.2919008021727884,0.32614243565208473
C12,80,35,0,0.2919008021727884,0.32614243565208473
C12,81,35,0,0.2919008021727884,0.32614243565208473
C12,82,35,0,0.2919008021727884,0.32614243565208473
C12,83,35,0,0.2919008021727884,0.32614243565208473
C12,84,34,0,0.2919008021727884,0.32614243565208473
C12,85,34,1,0.28331548446182403,0.3209752088821385
C12,86,32,0,0.28331548446182403,0.3209752088821385
C12,87,32,0,0.28331548446182403,0.3209752088821385
C12,88,32,1,0.27446187557239204,0.3115605288644117
C12,89,31,0,0.27446187557239204,0.3115605288644117
C12,90,0,0,,
C12,91,0,0,,
C12,92,0,0,,
C12,93,0,0,,
C12,94,0,0,,
C12,95,0,0,,
C12,96,0,0,,
C12,97,0,0,,
C12,98,0,0,,
C12,99,0,0,,
C12,100,0,0,,
C12,101,0,0,,
C12,102,0,0,,
C12,103,0,0,,
C12,104,0,0,,
C12,105,0,0,,
C12,106,0,0,,
C12,107,0,0,,
C12,108,0,0,,
C12,109,0,0,,
C12,110,0,0,,
C12,111,0,0,,
C12,112,0,0,,
C12,113,0,0,,
C12,114,0,0,,
C12,115,0,0,,
C12,116,0,0,,
C12,117,0,0,,
C12,118,0,0,,
C12,119,0,0,,
C12,120,0,0,,
C13,0,147,0,1.0,1.0
