node_key,poi_base,county,utility,state,legacy_active_projects,legacy_active_mw,legacy_active_storage_mw,c15_active_projects,c15_active_mw,c15_active_storage_mw,operating_projects,operating_mw,operating_storage_mw,wd_alltime_projects,wd_alltime_mw,wd_alltime_storage_mw,wd_recent_projects,wd_recent_mw,wd_recent_storage_mw,c15_withdrawn_projects,c15_withdrawn_mw,c15_withdrawn_storage_mw,wd_post_phase2_mw,c15_fcds_req_mw,pipeline_mw,pipeline_storage_mw,storage_churn,churn_alltime,c15_survival,tpd25_projects,tpd25_req_mw,tpd25_alloc_mw,tpd25_denied_mw,tpd25_unknown_mw,tpd25_unalloc_mw,tpd24_fcdsa_projects,tpd24_pcdsa_projects,wdat_active_projects,wdat_active_mw,wdat_active_storage_mw,wdat_inservice_mw,wdat_withdrawn_mw,lmp_tb4_12mo_mean,lmp_tb4_12mo_p90,lmp_months,c16_poi_status,c16_poi_note,lat,lon,osm_name,geo_score,geo_method,source_file,source_run_date,pipeline_commit,pipeline_run
OLD RIVER,OLD RIVER SUBSTATION,KERN,PGAE,CA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,51.401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.1,4.0,25.4,,,0,,,35.2460173,-118.975825,median of located nodes in CA KERN,0.3,county-centroid,publicqueuereport.xlsx+cluster15.xlsx,2026-09-14,8eb6c6f,2026-09-14T20:14:26Z
OLD RIVER KERN,OLD RIVER - KERN #1,KERN,PGAE,CA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,,,35.2460173,-118.975825,median of located nodes in CA KERN,0.3,county-centroid,publicqueuereport.xlsx+cluster15.xlsx,2026-09-14,8eb6c6f,2026-09-14T20:14:26Z
OLEUM,,CONTRA COSTA,PGAE,CA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,27.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,,,37.9454586,-121.8959532,median of located nodes in CA CONTRA COSTA,0.3,county-centroid,publicqueuereport.xlsx+cluster15.xlsx,2026-09-14,8eb6c6f,2026-09-14T20:14:26Z
OLINDA,OLINDA,LOS ANGELES,SCE,CA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,350.0,350.0,1.0,350.0,350.0,1.0,350.0,350.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,,,40.3829969,-122.3814249,Olinda Substation,0.5,ambiguous,publicqueuereport.xlsx+cluster15.xlsx,2026-09-14,8eb6c6f,2026-09-14T20:14:26Z
OLIVE,OLIVE,TULARE,PGAE,CA,0.0,0.0,0.0,0.0,0.0,0.0,1.0,40.0,20.0,4.0,410.0,170.0,1.0,160.0,160.0,0.0,0.0,0.0,160.0,0.0,0.0,0.0,8.0,10.25,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,,,36.109471,-119.09165730000001,median of located nodes in CA TULARE,0.3,county-centroid,publicqueuereport.xlsx+cluster15.xlsx,2026-09-14,8eb6c6f,2026-09-14T20:14:26Z
OLIVE SMYNRA,OLIVE SWITCHING STATION - SMYNRA,TULARE,PGAE,CA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,,,36.109471,-119.09165730000001,median of located nodes in CA TULARE,0.3,county-centroid,publicqueuereport.xlsx+cluster15.xlsx,2026-09-14,8eb6c6f,2026-09-14T20:14:26Z
OAKLAND J,OAKLAND J,ALAMEDA,PGAE,CA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,153.0,153.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,18.1,12.6,2.0,16.3,,,0,,,37.7630288,-122.2144359,Oakland J Substation,1.0,exact,publicqueuereport.xlsx+cluster15.xlsx,2026-09-14,8eb6c6f,2026-09-14T20:14:26Z
MORRO BAY MIDWAY LINES,MORRO BAY-MIDWAY #1 & #2 LINES,SAN LUIS OBISPO,PGAE,CA,0.0,0.0,0.0,0.0,0.0,0.0,1.0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,,,35.3738781,-120.8555879,Morro Bay,0.7,line-one-end,publicqueuereport.xlsx+cluster15.xlsx,2026-09-14,8eb6c6f,2026-09-14T20:14:26Z
MORRO BAY SOLAR,MORRO BAY SOLAR SW STA #2,SAN LUIS OBISPO,PGAE,CA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,200.0,103.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,,,35.3738781,-120.32021062499999,median of located nodes in CA SAN LUIS OBISPO,0.3,county-centroid,publicqueuereport.xlsx+cluster15.xlsx,2026-09-14,8eb6c6f,2026-09-14T20:14:26Z
MORRO GATES,MORRO-GATES,MONTEREY,PGAE,CA,0.0,0.0,0.0,0.0,0.0,0.0,1.0,280.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,,,36.1413374,-120.1256622,Gates Substation,0.7,line-one-end,publicqueuereport.xlsx+cluster15.xlsx,2026-09-14,8eb6c6f,2026-09-14T20:14:26Z
