@id,@type,@lat,@lon,name,voltage,operator,substation
606222639,way,37.6270637,-122.1097190,Cerberus Substation,115000,Amazon,industrial
606500067,way,36.5822326,-115.9473218,Innovation Substation,230000,,
607516379,way,37.6209528,-122.4250671,San Bruno Substation,60000;4000,Pacific Gas and Electric Company,distribution
608001029,way,37.9660418,-122.2787115,Valley View Substation,115000;12000,Pacific Gas and Electric Company,distribution
608967856,way,37.6489969,-118.9167053,Casa Diablo Substation,115000,,
612239233,way,32.4759526,-117.0722038,El Rubi,230000;115000,,transmission
612239235,way,32.4450304,-116.8781700,Metropoli,230000;115000,,transmission
612239240,way,32.5239429,-116.7493654,Herradura,230000;115000,,transmission
612239245,way,32.4053162,-115.2113158,Cerro Prieto 4,161000,Comisión Federal de Electricidad,generation
612239246,way,32.3990217,-115.2383631,Cerro Prieto 1,161000,Comisión Federal de Electricidad,generation
613571074,way,37.7488257,-121.4159518,Tracy Substation,115000,Pacific Gas and Electric Company,distribution
615560851,way,39.6359910,-119.6666901,La Posada Meter Station,,,
616051165,way,40.5350285,-122.3776793,Moore Road Substation,,,
616351541,way,34.2518430,-118.2899716,DISTRIBUTING STATION 48,34500;4800,Los Angeles Department of Water and Power,distribution
620791965,way,36.1583759,-115.3153237,Hualapai Substation,138000,,
622689811,way,40.5699979,-122.3141796,East Redding Substation,,,
622694658,way,40.5746895,-122.3894801,Waldon Street Substation,,,
634026481,way,33.9986135,-114.2165277,Bouse Switchyard,161000,Western Area Power Administration,distribution
644411857,way,34.2368091,-118.7029630,Chatsworth Substation,66000,,
646210780,way,33.8169959,-117.9764883,Clair Substation,69000;12000,Anaheim Public Utilities,distribution
646210781,way,33.8374704,-117.9683395,Hannum Substation,69000;12000,Anaheim Public Utilities,distribution
646210782,way,33.8310548,-117.9114350,Anaheim Substation,69000;12000,Anaheim Public Utilities,distribution
646210783,way,33.8534206,-117.8569314,Dowling Substation,69000;12000,Anaheim Public Utilities,distribution
